Frame Number,POSIX Timestamp,Detected Objects,Latitude,Longitude
7485,"1,739,322,568,959,400","[-3.9609375, 17.671875, 0.0546875, 0.0, 15.051499783199061], [-4.015625, 17.8515625, -1.40625, 0.0, 16.989700043360187], [-3.4375, 18.015625, 0.5234375, -0.13, 15.314789170422552]","36,899,170","27,290,720"
7478,"1,739,322,568,609,400",[],"36,899,170","27,290,720"
7479,"1,739,322,568,659,400","[-3.484375, 16.765625, -7.25, -0.13, 18.19543935541869]","36,899,170","27,290,720"
7480,"1,739,322,568,709,400","[-2.8671875, 18.1171875, -0.5078125, -0.26, 17.323937598229687], [-2.90625, 18.265625, 1.9140625, -0.26, 16.901960800285135], [-2.296875, 17.734375, 4.109375, -0.13, 17.323937598229687]","36,899,170","27,290,720"
7481,"1,739,322,568,759,400","[-2.8671875, 18.1171875, -0.5078125, -0.26, 17.323937598229687], [-2.90625, 18.265625, 1.9140625, -0.26, 16.901960800285135], [-2.296875, 17.734375, 4.109375, -0.13, 17.323937598229687]","36,899,170","27,290,720"
7493,"1,739,322,569,359,400","[-4.40625, 16.8828125, -2.4453125, 0.0, 16.901960800285135], [-4.46875, 17.1484375, -2.2578125, 0.0, 16.720978579357176], [-4.40625, 16.7109375, -3.421875, -0.13, 16.812412373755873], [-3.3515625, 17.4375, -1.96875, -0.13, 16.989700043360187]","36,899,162","27,290,712"
7492,"1,739,322,569,309,400","[-4.953125, 16.7265625, -2.4609375, 0.0, 17.481880270062003], [-4.015625, 17.8515625, -1.359375, 0.0, 19.49390006644913], [-4.0703125, 18.1484375, 0.03125, 0.0, 19.444826721501688], [-4.125, 18.3046875, 1.671875, 0.0, 16.812412373755873], [-4.5859375, 17.734375, -1.0390625, 0.13, 15.563025007672874], [-4.6484375, 18.0078125, -0.0390625, 0.13, 15.910646070264992], [-3.484375, 18.1328125, 2.2109375, -0.26, 15.314789170422552], [-4.40625, 16.765625, -3.125, -0.13, 16.434526764861875], [-3.3515625, 17.5390625, -0.3515625, -0.13, 15.797835966168101], [-4.015625, 17.8359375, -1.5625, -0.13, 18.19543935541869], [-3.484375, 18.2421875, 0.9609375, -0.13, 18.86490725172482], [-2.9453125, 18.4375, 2.53125, -0.13, 16.989700043360187]","36,899,162","27,290,712"
7491,"1,739,322,569,259,400","[-4.015625, 16.296875, -7.4296875, -0.13, 17.323937598229687], [-4.015625, 16.90625, -5.9140625, 0.0, 16.62757831681574], [-3.484375, 17.4765625, -5.3203125, 0.0, 14.62397997898956]","36,899,162","27,290,712"
7490,"1,739,322,569,209,400","[-4.015625, 16.296875, -7.4296875, -0.13, 17.323937598229687], [-4.015625, 16.90625, -5.9140625, 0.0, 16.62757831681574], [-3.484375, 17.4765625, -5.3203125, 0.0, 14.62397997898956]","36,899,162","27,290,712"
7489,"1,739,322,569,159,400","[-3.3984375, 17.7265625, -1.4375, 0.0, 16.434526764861875], [-3.4375, 17.90625, -2.078125, 0.0, 19.19078092376074], [-4.0703125, 17.53125, -4.6796875, 0.0, 17.16003343634799], [-3.4375, 18.0, -0.9921875, 0.13, 17.85329835010767], [-4.0703125, 18.0, -2.3203125, 0.13, 15.563025007672874], [-4.015625, 17.5546875, -3.5390625, -0.26, 16.62757831681574], [-4.6484375, 17.703125, -3.296875, -0.26, 17.403626894942438], [-3.4375, 17.78125, -2.9765625, -0.13, 18.692317197309762], [-4.0703125, 17.703125, -3.96875, -0.13, 18.19543935541869]","36,899,162","27,290,712"
7488,"1,739,322,569,109,400","[-3.90625, 17.4296875, -0.234375, 0.0, 16.901960800285135], [-3.9609375, 17.6640625, -0.0625, 0.0, 16.62757831681574], [-4.5859375, 17.765625, -0.03125, 0.0, 15.910646070264992], [-3.8515625, 17.171875, -0.75, -0.13, 16.434526764861875], [-3.90625, 17.3984375, -1.0625, -0.13, 17.403626894942438], [-3.9609375, 17.640625, -0.9765625, -0.13, 16.812412373755873], [-4.5859375, 17.75, -0.8359375, -0.13, 15.797835966168101]","36,899,162","27,290,712"
7487,"1,739,322,569,059,400","[-3.3984375, 17.734375, 1.375, 0.0, 16.334684555795864], [-3.3515625, 17.5390625, 0.3515625, -0.13, 16.62757831681574], [-3.3984375, 17.7734375, 0.5546875, -0.13, 16.812412373755873]","36,899,162","27,290,712"
7486,"1,739,322,569,009,400","[-3.9609375, 17.671875, 0.0546875, 0.0, 15.051499783199061], [-4.015625, 17.8515625, -1.40625, 0.0, 16.989700043360187], [-3.4375, 18.015625, 0.5234375, -0.13, 15.314789170422552]","36,899,162","27,290,712"
7498,"1,739,322,569,609,400","[-3.8515625, 17.1171875, -1.5546875, 0.0, 17.075701760979364], [-3.90625, 17.2734375, -2.3046875, 0.0, 16.532125137753436], [-4.5234375, 17.3515625, -2.5, 0.0, 16.901960800285135], [-4.5859375, 17.6015625, -2.4140625, 0.0, 18.976270912904415], [-4.6484375, 17.9140625, -1.8125, 0.0, 18.325089127062363], [-4.5859375, 17.75, -0.78125, 0.13, 16.62757831681574], [-5.2265625, 17.84375, -0.203125, 0.13, 16.232492903979004], [-3.8515625, 16.9375, -2.953125, -0.13, 16.989700043360187], [-3.90625, 16.96875, -3.984375, -0.13, 16.127838567197355], [-4.5234375, 16.921875, -4.578125, -0.13, 15.440680443502757], [-4.015625, 17.3203125, -4.546875, -0.13, 17.634279935629372]","36,899,162","27,290,712"
7499,"1,739,322,569,659,400","[-3.3984375, 16.859375, -5.671875, 0.0, 16.334684555795864], [-2.8671875, 17.046875, -6.171875, 0.0, 20.681858617461618], [-2.90625, 17.234375, -6.359375, 0.0, 19.590413923210935], [-2.8671875, 17.4375, -4.9375, 0.13, 15.563025007672874], [-4.0703125, 17.8046875, -3.484375, 0.13, 15.185139398778876], [-3.3984375, 16.7265625, -6.046875, -0.13, 16.127838567197355], [-3.4375, 16.515625, -7.2265625, -0.13, 20.253058652647702], [-2.90625, 18.0546875, -3.359375, 0.13, 15.185139398778876]","36,899,162","27,290,712"
