Frame Number;POSIX Timestamp;Detected Objects;Latitude;Longitude
5490;1.738.595.763.238.430;[];36620937;27846247
5501;1.738.595.763.788.430;[];36620937;27846247
5500;1.738.595.763.738.430;[];36620937;27846247
5499;1.738.595.763.688.430;[];36620937;27846247
5498;1.738.595.763.638.430;"[-3.5571794509887695, 26.667217254638672, -9.2753267288208, -0.5997640490531921, 13.9]";36620937;27846247
5486;1.738.595.763.038.430;[];36620937;27846247
5487;1.738.595.763.088.430;[];36620937;27846247
5488;1.738.595.763.138.430;[];36620937;27846247
5489;1.738.595.763.188.430;[];36620937;27846247
5502;1.738.595.763.838.430;"[-3.54191255569458, 26.47125816345215, -9.466598510742188, -0.5997640490531921, 18.1]";36620937;27846247
5503;1.738.595.763.888.430;"[-3.5266456604003906, 26.54136085510254, -8.893904685974121, -0.5997640490531921, 12.600000000000001]";36620937;27846247
5504;1.738.595.763.938.430;[];36620937;27846247
5505;1.738.595.763.988.430;"[-2.6793346405029297, 26.94169807434082, -9.151937484741211, -0.6997247338294983, 13.0], [-2.5533831119537354, 25.682010650634766, -8.701661109924316, -0.5997640490531921, 16.2]";36620937;27846247
5494;1.738.595.763.438.430;"[-2.587733507156372, 26.092496871948242, -8.62454891204834, -0.4998033940792084, 18.8]";36620937;27846247
5495;1.738.595.763.488.430;"[-2.5762834548950195, 25.9296817779541, -8.728368759155273, -0.3998427093029022, 15.9]";36620937;27846247
5496;1.738.595.763.538.430;[];36620937;27846247
5497;1.738.595.763.588.430;[];36620937;27846247
5510;1.738.595.764.238.430;"[-3.3892438411712646, 25.197402954101562, -9.421793937683105, -0.5997640490531921, 17.8]";36620937;27846252
5511;1.738.595.764.288.430;"[-4.2365546226501465, 25.500904083251953, -8.180570602416992, -0.5997640490531921, 16.8]";36620937;27846252
5512;1.738.595.764.338.430;[];36620937;27846252
5513;1.738.595.764.388.430;"[-3.3739771842956543, 24.866958618164062, -9.940263748168945, -0.5997640490531921, 14.100000000000001]";36620937;27846252
5517;1.738.595.764.588.430;"[-5.038065433502197, 25.885046005249023, -5.153844356536865, -0.6997247338294983, 15.0]";36620937;27846252
5516;1.738.595.764.538.430;[];36620937;27846252
5515;1.738.595.764.488.430;[];36620937;27846252
5514;1.738.595.764.438.430;[];36620937;27846252
5518;1.738.595.764.638.430;[];36620937;27846252
5519;1.738.595.764.688.430;[];36620937;27846252
5520;1.738.595.764.738.430;"[5.038065433502197, 25.976823806762695, 4.66929292678833, -0.5997640490531921, 14.9]";36620937;27846252
5521;1.738.595.764.788.430;[];36620937;27846252
5522;1.738.595.764.838.430;[];36620937;27846252
5523;1.738.595.764.888.430;[];36620937;27846252
5524;1.738.595.764.938.430;"[-2.5991837978363037, 26.08262062072754, -9.033053398132324, -0.6997247338294983, 17.0]";36620937;27846252
5525;1.738.595.764.988.430;"[-3.4503114223480225, 26.036151885986328, -8.491857528686523, -0.5997640490531921, 15.8]";36620937;27846252
5509;1.738.595.764.188.430;[];36620937;27846252
5508;1.738.595.764.138.430;"[-3.3892438411712646, 25.68413543701172, -8.000283241271973, -0.5997640490531921, 15.8]";36620937;27846252
5507;1.738.595.764.088.430;[];36620937;27846252
5506;1.738.595.764.038.430;[];36620937;27846252
5533;1.738.595.765.388.430;"[-3.2823758125305176, 24.38580322265625, -9.170279502868652, -0.5997640490531921, 12.200000000000001]";36620937;27846252
5532;1.738.595.765.338.430;[];36620937;27846252
5531;1.738.595.765.288.430;[];36620937;27846252
5530;1.738.595.765.238.430;[];36620937;27846252
