Frame Number,POSIX Timestamp,Detected Objects,Latitude,Longitude
6645,1739322526.9594,"[-2.75, 21.7265625, 2.3046875, -0.26, 16.434526764861875]",36899345,27290911
6634,1739322526.4094,"[-4.3359375, 17.1875, -8.8671875, -0.26, 16.02059991327962], [-4.390625, 17.171875, -9.40625, -0.26, 15.051499783199061], [-3.2109375, 20.0234375, -3.3515625, -0.26, 15.314789170422552], [-3.25, 19.4609375, -6.578125, -0.26, 16.02059991327962], [-4.3359375, 17.546875, -8.1328125, -0.13, 16.232492903979004]",36899345,27290911
6635,1739322526.4594,[],36899345,27290911
6636,1739322526.5094,[],36899345,27290911
6637,1739322526.5594,[],36899345,27290911
6638,1739322526.6094,[],36899345,27290911
6639,1739322526.6594,"[-3.8515625, 19.96875, -2.9765625, -0.26, 15.68201724066995], [-3.8984375, 19.546875, -5.9375, -0.26, 16.232492903979004]",36899345,27290911
6640,1739322526.7094,"[-3.2109375, 19.7109375, -4.875, 0.0, 16.127838567197355], [-3.8515625, 19.7734375, -4.0546875, 0.13, 14.62397997898956]",36899345,27290911
6641,1739322526.7594,"[-3.2109375, 19.7109375, -4.875, 0.0, 16.127838567197355], [-3.8515625, 19.7734375, -4.0546875, 0.13, 14.62397997898956]",36899345,27290911
6630,1739322526.2094,[],36899345,27290911
6631,1739322526.2594,[],36899345,27290911
6632,1739322526.3094,"[-3.8515625, 18.9375, -7.0, -0.26, 15.910646070264992], [-3.8984375, 19.390625, -6.4375, -0.26, 16.127838567197355], [-3.8515625, 19.5546875, -5.015625, -0.13, 16.720978579357176], [-3.8984375, 19.8515625, -4.8203125, -0.13, 17.403626894942438]",36899345,27290911
6633,1739322526.3594,[],36899345,27290911
6626,1739322526.0094,[],36899345,27290911
6627,1739322526.0594,"[-4.6015625, 19.875, -5.1640625, -0.26, 15.797835966168101]",36899345,27290911
6628,1739322526.1094,[],36899345,27290911
6629,1739322526.1594,[],36899345,27290911
6662,1739322527.8094,"[-3.8515625, 19.265625, -6.03125, 0.0, 16.812412373755873], [-3.8515625, 19.46875, -5.328125, 0.13, 16.812412373755873]",36899334,27290888
6663,1739322527.8594,[],36899334,27290888
6664,1739322527.9094,"[-4.4921875, 19.6953125, -3.78125, 0.0, 16.62757831681574], [-3.8515625, 19.875, -3.5546875, -0.13, 16.62757831681574]",36899334,27290888
6665,1739322527.9594,"[-3.8984375, 20.0625, -3.8671875, -0.13, 16.62757831681574]",36899334,27290888
6661,1739322527.7594,"[-3.8515625, 19.3671875, -5.6953125, 0.0, 17.92391689498254], [-3.8984375, 19.8125, -4.984375, 0.0, 17.85329835010767], [-3.2109375, 19.40625, -5.9609375, -0.13, 16.989700043360187], [-2.6015625, 20.09375, -4.6796875, -0.13, 17.634279935629372], [-2.6328125, 20.6484375, -3.0703125, -0.13, 18.129133566428553]",36899334,27290888
6660,1739322527.7094,"[-3.8515625, 19.3671875, -5.6953125, 0.0, 17.92391689498254], [-3.8984375, 19.8125, -4.984375, 0.0, 17.85329835010767], [-3.2109375, 19.40625, -5.9609375, -0.13, 16.989700043360187], [-2.6015625, 20.09375, -4.6796875, -0.13, 17.634279935629372], [-2.6328125, 20.6484375, -3.0703125, -0.13, 18.129133566428553]",36899334,27290888
6659,1739322527.6594,"[-3.8515625, 19.7109375, -4.3515625, -0.13, 15.910646070264992]",36899334,27290888
6658,1739322527.6094,"[-3.25, 20.2265625, -3.5859375, -0.26, 16.02059991327962], [-3.2109375, 19.8203125, -4.390625, -0.13, 17.708520116421443], [-3.25, 20.2109375, -3.6875, -0.13, 17.708520116421443]",36899334,27290888
6653,1739322527.3594,[],36899334,27290888
6652,1739322527.3094,"[-3.8984375, 20.140625, -3.4296875, 0.13, 16.232492903979004]",36899334,27290888
6651,1739322527.2594,"[-2.75, 21.796875, 1.5390625, -0.13, 17.403626894942438]",36899334,27290888
6650,1739322527.2094,"[-2.75, 21.796875, 1.5390625, -0.13, 17.403626894942438]",36899334,27290888
6649,1739322527.1594,"[-3.8515625, 19.2421875, -6.1015625, 0.0, 16.989700043360187], [-4.546875, 19.125, -6.796875, 0.0, 16.720978579357176], [-3.8515625, 18.8515625, -7.234375, -0.13, 16.989700043360187], [-4.546875, 18.359375, -8.6484375, -0.13, 16.62757831681574]",36899334,27290888
