Frame Number,POSIX Timestamp,Num Detected Objects,Detected Objects
1013,1731187725.758914,6,"[0.0, 37.00687026977539, 0.023249289020895958, -0.24811427295207977, 15.399999618530273], [-1.1602816581726074, 37.10770034790039, -0.485714316368103, -0.24811427295207977, 16.899999618530273], [1.1602816581726074, 37.102752685546875, 0.7766071557998657, -0.24811427295207977, 16.899999618530273], [0.0, 37.24540328979492, 0.6542502641677856, -0.24811427295207977, 15.699999809265137], [0.0, 37.039695739746094, 2.5738279819488525, -0.12405713647603989, 14.199999809265137], [-1.1640983819961548, 37.167537689208984, 2.2061333656311035, -0.12405713647603989, 12.800000190734863]"
1014,1731187725.808914,6,"[0.0, 37.00687789916992, 0.0, -0.37217140197753906, 14.300000190734863], [0.0, 37.11888122558594, 0.8672683835029602, -0.37217140197753906, 15.600000381469727], [0.0, 37.21098327636719, 1.7293983697891235, -0.37217140197753906, 14.699999809265137], [0.0, 36.95664596557617, 1.927537441253662, -0.24811427295207977, 15.199999809265137], [0.0, 36.987667083740234, 3.2366952896118164, -0.24811427295207977, 16.100000381469727], [0.0, 36.87515640258789, 5.279282093048096, -0.24811427295207977, 14.5]"
1015,1731187725.858914,5,"[0.0, 37.97343826293945, 0.8939725160598755, -0.37217140197753906, 12.800000190734863], [0.0, 38.09160232543945, 1.050868034362793, -0.37217140197753906, 13.699999809265137], [0.0, 37.83951950073242, 1.2994768619537354, -0.24811427295207977, 12.899999618530273], [-1.186998724937439, 37.95852279663086, 0.7230443358421326, -0.24811427295207977, 15.199999809265137], [0.0, 38.045536041259766, 2.1474738121032715, -0.24811427295207977, 14.899999618530273]"
1016,1731187725.908914,11,"[-1.15646493434906, 36.978336334228516, -0.8798648118972778, -0.37217140197753906, 13.699999809265137], [0.0, 37.128753662109375, -0.1385391354560852, -0.37217140197753906, 15.800000190734863], [0.0, 37.24714660644531, -0.5459595322608948, -0.37217140197753906, 15.100000381469727], [0.0, 37.97981262207031, 0.5610830783843994, -0.37217140197753906, 12.800000190734863], [0.0, 38.07254409790039, 1.5987156629562378, -0.37217140197753906, 13.899999618530273], [0.0, 37.00669479370117, -0.11693515628576279, -0.24811427295207977, 14.899999618530273], [0.0, 37.128177642822266, 0.24912069737911224, -0.24811427295207977, 16.899999618530273], [0.0, 37.2397346496582, 0.9220906496047974, -0.24811427295207977, 16.299999237060547], [-1.186998724937439, 37.958492279052734, 0.7246428728103638, -0.24811427295207977, 13.0], [0.0, 38.050193786621094, 2.063293933868408, -0.24811427295207977, 14.0], [-1.1908154487609863, 38.057098388671875, 1.521057367324829, -0.12405713647603989, 12.800000190734863]"
1017,1731187725.958914,6,"[0.0, 37.84703826904297, -1.0580450296401978, -0.37217140197753906, 14.600000381469727], [0.0, 37.96339416503906, -1.2497488260269165, -0.37217140197753906, 17.600000381469727], [0.0, 38.08076858520508, -1.3891072273254395, -0.37217140197753906, 17.899999618530273], [0.0, 38.20713806152344, -1.2696468830108643, -0.37217140197753906, 15.800000190734863], [0.0, 37.97733688354492, 0.7091548442840576, -0.24811427295207977, 14.899999618530273], [0.0, 38.10588073730469, 0.1280115693807602, -0.24811427295207977, 15.199999809265137]"
1018,1731187726.008914,0,[]
1019,1731187726.058914,0,[]
1020,1731187726.108914,1,"[0.0, 37.9766960144043, 0.7426820397377014, -0.37217140197753906, 12.899999618530273]"
1021,1731187726.158914,5,"[0.0, 37.00686264038086, 0.03485095128417015, -0.37217140197753906, 14.399999618530273], [0.0, 37.11442184448242, -1.0408793687820435, -0.37217140197753906, 14.600000381469727], [-1.15646493434906, 36.988704681396484, 0.08548635989427567, -0.24811427295207977, 15.300000190734863], [-1.1602816581726074, 37.10124588012695, -0.8454222679138184, -0.24811427295207977, 15.399999618530273], [-1.1640983819961548, 37.193355560302734, -1.716744065284729, -0.24811427295207977, 12.899999618530273]"
1022,1731187726.208914,6,"[0.0, 37.98363494873047, 0.15701285004615784, -0.49622854590415955, 14.100000381469727], [-1.15646493434906, 36.979637145996094, 0.8234274387359619, -0.37217140197753906, 13.600000381469727], [0.0, 37.11018753051758, 1.182131052017212, -0.37217140197753906, 13.600000381469727], [0.0, 37.945194244384766, 1.7156304121017456, -0.37217140197753906, 14.699999809265137], [0.0, 38.08738708496094, 1.1939010620117188, -0.37217140197753906, 14.600000381469727], [-1.1946321725845337, 38.20880126953125, -0.2407437413930893, -0.37217140197753906, 12.699999809265137]"
